school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes
GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no
GP,M,16,U,LE3,T,4,3,services,other,reputation,yes,yes
GP,M,16,U,LE3,T,2,2,other,other,home,yes,yes
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no
GP,M,15,U,LE3,A,3,2,services,other,home,yes,yes
GP,M,15,U,GT3,T,3,4,other,other,home,yes,yes
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes
GP,M,15,U,LE3,T,4,4,health,services,course,yes,yes
GP,M,15,U,GT3,T,4,3,teacher,other,course,yes,yes
GP,M,15,U,GT3,A,2,2,other,other,home,yes,yes
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no
GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes
GP,M,16,U,LE3,T,4,3,health,other,home,yes,yes
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,yes,yes
GP,M,15,U,GT3,T,4,4,health,health,other,yes,yes
GP,M,16,U,LE3,T,4,2,teacher,other,course,yes,yes
GP,M,16,U,LE3,T,2,2,other,other,reputation,yes,yes
GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes
GP,F,16,U,GT3,T,2,2,services,services,home,no,yes
GP,M,15,U,GT3,T,2,2,other,other,home,yes,yes
GP,M,15,U,GT3,T,4,2,health,services,other,yes,yes
GP,M,16,U,LE3,A,3,4,services,other,home,yes,yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,yes,yes
